InTheCivilianLaborForce_Employed_HasAComputer_WithDial_upInternetSubscriptionAlone,InTheCivilianLaborForce_Employed_HasAComputer_WithABroadbandInternetSubscription,InTheCivilianLaborForce_Employed_HasAComputer_WithoutAnInternetSubscription,InTheCivilianLaborForce_Employed_NoComputer,InTheCivilianLaborForce_Unemployed_HasAComputer_WithDial_upInternetSubscriptionAlone,InTheCivilianLaborForce_Unemployed_HasAComputer_WithABroadbandInternetSubscription,InTheCivilianLaborForce_Unemployed_HasAComputer_WithoutAnInternetSubscription,InTheCivilianLaborForce_Unemployed_NoComputer,NotInLaborForce_HasAComputer_WithDial_upInternetSubscriptionAlone,NotInLaborForce_HasAComputer_WithABroadbandInternetSubscription,NotInLaborForce_HasAComputer_WithoutAnInternetSubscription,NotInLaborForce_NoComputer,stateId
97,336538,16733,8036,0,13756,410,288,515,169601,15727,23928,SC-04
413,314460,18824,6422,0,13801,2773,420,583,171685,21263,22962,SC-05
194,312267,13903,5181,0,14932,1101,369,888,171279,15688,19970,SC-02
538,408357,23000,12938,103,10262,1784,1260,822,151873,17319,28439,SD-00
239,284991,21572,10713,0,13464,1471,1778,401,181856,23751,41630,TN-01
182,399307,21160,8183,0,14060,1488,843,1424,131466,11901,17532,TN-05
472,332155,14040,6900,0,15017,497,476,244,185140,18890,26312,TN-07
113,330361,26534,4573,0,10348,2117,243,582,178907,23497,27345,TN-02
0,265868,27801,25601,0,18218,3498,4032,71,128788,22137,33925,TN-09
317,280959,30966,8283,0,17613,2024,594,0,164022,31148,18938,TX-28
1181,275110,29271,10557,249,12001,2324,1033,992,158137,26279,24742,TX-01
36,379493,24202,5813,0,16188,730,813,110,154148,8666,7431,TX-07
151,392618,13293,6320,0,18366,1432,105,470,174175,9963,8533,TX-06
0,330316,35390,9921,0,10855,1603,953,69,168496,19645,20472,TX-17
364,315756,13980,6194,65,20805,829,426,759,174251,16187,20670,TX-36
0,291855,17917,9904,71,18415,588,982,0,165700,15232,21658,TX-16
177,446344,27983,4994,0,14655,886,158,187,154399,9321,5171,TX-24
99,296114,32390,12524,0,18842,1764,841,362,140324,20326,18132,TX-33
189,323961,32793,9508,0,10317,1903,164,421,171208,19784,17412,TX-11
136,284380,34799,15302,0,15900,3018,829,137,155463,37898,24256,TX-15
44,290545,36932,14926,0,10989,948,298,186,156898,27330,28436,TX-23
362,389554,18452,3645,136,14060,979,0,234,182271,19581,11222,TX-12
1032,389468,14590,4690,87,14487,446,261,974,211409,17567,15351,TX-08
206,224596,40951,16251,0,10968,2707,1185,231,142667,36292,37606,TX-34
305,294303,35772,23836,0,18309,1906,1157,418,145129,23404,40461,TX-30
