Under_6_years_With_health_insurance_coverage,Under_6_years_No_health_insurance_coverage,6_to_18_years_With_health_insurance_coverage,6_to_18_years_No_health_insurance_coverage,19_to_25_years_With_health_insurance_coverage,19_to_25_years_No_health_insurance_coverage,26_to_34_years_With_health_insurance_coverage,26_to_34_years_No_health_insurance_coverage,35_to_44_years_With_health_insurance_coverage,35_to_44_years_No_health_insurance_coverage,45_to_54_years_With_health_insurance_coverage,45_to_54_years_No_health_insurance_coverage,55_to_64_years_With_health_insurance_coverage,55_to_64_years_No_health_insurance_coverage,65_to_74_years_With_health_insurance_coverage,65_to_74_years_No_health_insurance_coverage,75_years_and_over_With_health_insurance_coverage,75_years_and_over_No_health_insurance_coverage,stateId
2202,0,5696,32,2119,110,1089,596,1310,103,528,449,379,0,549,0,119,0,IA-04
2596,203,5528,823,2499,527,1628,624,894,199,677,219,1011,378,358,111,135,0,KS-01
3909,616,9362,915,3107,393,2201,770,1843,556,2142,74,1588,222,1049,0,783,0,KS-02
4946,317,8782,474,2286,679,2577,434,2572,230,1249,229,995,168,793,0,198,0,KS-03
5240,355,9864,38,4095,1184,2538,732,2741,471,1542,564,1225,102,948,0,475,0,KS-04
3922,0,5144,81,2489,257,454,306,720,0,700,42,808,162,924,0,392,0,KY-01
3128,0,5794,231,2740,102,1843,359,871,0,1024,106,552,0,414,0,265,0,KY-03
3008,82,6424,178,1338,58,1207,1208,1669,154,463,215,766,564,496,29,520,0,LA-01
1960,0,3686,63,1425,555,2349,365,1460,0,733,272,816,0,768,0,399,0,LA-02
3772,72,5224,0,1232,380,1416,43,472,248,1145,0,759,130,496,0,479,0,LA-03
2935,68,4056,228,1846,263,1905,504,1211,187,1451,325,894,88,1566,58,365,0,LA-04
1783,741,3470,320,813,91,1744,172,715,171,1060,95,838,219,485,0,276,0,LA-05
1282,22,3758,244,1506,339,1221,306,933,52,776,366,1113,33,508,0,91,0,ME-01
1913,46,2942,908,1171,66,1491,689,1378,240,1884,143,714,9,795,0,714,0,ME-02
5228,0,7985,272,2147,0,2499,758,2296,887,1862,117,993,171,510,0,416,0,MD-02
6934,144,8894,242,2206,275,2969,133,3517,704,1851,375,1701,226,781,0,272,234,MD-03
4016,0,5800,274,1606,139,2541,503,1656,0,1821,23,1811,383,1922,0,106,0,MD-04
3054,0,8706,0,3053,169,3540,542,2822,257,3245,334,2202,0,796,0,434,0,MD-05
4562,84,10450,0,3868,98,3550,0,2523,34,2654,441,1540,190,745,0,647,200,MD-06
1913,48,5294,103,2472,307,2273,327,1213,85,1812,0,2048,0,566,0,78,0,MD-07
4351,103,8110,108,2597,171,2914,217,3457,182,1838,102,1333,97,773,0,489,0,MD-08
4138,0,7264,41,3662,206,2444,221,2147,0,2620,0,1165,81,524,0,151,0,MA-02
7948,76,17168,38,8768,323,10058,1516,7627,233,6406,625,3723,774,1833,187,1562,0,MA-07
1997,62,4690,209,1826,210,2147,662,1457,550,1282,143,1461,173,902,0,598,0,MI-01
4817,586,8592,332,3485,533,2507,475,1612,200,1287,75,838,33,417,0,70,0,MI-02
4428,4,11132,338,3944,889,3238,324,3130,222,2110,439,1165,0,1084,0,241,0,MI-03
2722,0,3984,158,1561,72,567,342,966,378,1172,159,631,0,627,0,541,0,MI-04
5096,140,5626,76,2373,414,2466,98,1607,100,1322,80,1235,26,537,0,1123,0,MI-05
5260,380,7427,316,3296,618,2664,373,2404,1206,676,21,1183,84,669,0,358,0,MI-06
3851,44,8064,64,2062,759,1559,80,1767,442,604,48,692,38,384,0,437,0,MI-07
3649,0,6795,90,2740,268,1179,180,1825,356,1613,83,954,30,483,0,420,0,MI-08
4650,0,7475,321,2343,505,1767,97,2168,188,1643,219,942,24,641,0,550,0,MI-09
2063,359,3670,658,1597,141,1666,493,1085,150,607,103,1059,29,519,0,341,0,MI-10
3430,102,6593,0,2294,0,1858,260,1594,423,1539,213,1211,42,314,0,270,0,MI-11
2955,0,8387,0,3767,508,2414,92,2114,0,1875,238,1458,133,1097,0,157,0,MI-12
1955,0,4760,93,2462,101,1228,66,1799,44,1145,227,964,33,1346,0,82,0,MI-13
3706,0,4643,54,1341,157,2391,26,1056,103,1311,0,1260,248,729,30,235,0,MI-14
3674,14,6384,10,1969,236,1793,399,410,192,1025,105,309,10,215,0,268,0,MN-01
3883,255,8473,75,2434,270,2620,585,2611,77,1970,182,1230,57,533,0,216,0,MN-02
6102,0,10560,105,3062,497,2316,87,2412,163,1484,125,849,0,329,0,175,0,MN-03
5079,98,11543,408,3308,421,3383,991,2166,57,1442,0,564,50,448,0,56,0,MN-04
6671,164,9969,103,3935,681,4479,412,2480,418,3016,75,955,0,853,0,338,0,MN-05
1726,98,4733,405,1701,453,812,173,1050,162,730,72,689,16,626,0,235,0,MN-07
2464,236,5122,100,1139,96,2331,280,2093,201,1014,26,1049,85,803,0,541,11,MN-08
1947,166,8553,1490,994,509,1108,676,660,790,772,136,1521,258,435,0,411,0,MS-04
3683,246,4966,391,2224,324,4124,215,1880,413,656,321,679,283,605,0,219,0,MO-01
2936,0,5481,477,1615,212,1554,131,1539,88,1060,126,727,0,377,0,210,0,MO-02
3451,16,9112,401,2762,334,1663,983,2407,445,1266,42,1398,342,702,0,318,0,MO-04
3436,277,8226,796,2038,1206,2597,308,2751,323,2820,298,987,317,389,0,206,0,MO-05
4339,869,9704,147,2101,496,2000,140,2043,394,1244,157,980,16,493,0,145,0,MO-06
4024,177,7077,1522,2099,684,2289,512,2190,483,1101,137,1462,14,896,55,448,0,MO-07
2324,7,3105,250,1158,142,690,803,687,245,459,332,652,0,785,0,360,0,MO-08
5032,168,10304,313,3662,295,3186,180,3601,550,2350,486,2629,223,2402,0,878,0,MT-00
2900,403,7157,684,1853,767,906,73,1297,358,495,98,366,0,181,0,103,0,NE-01
3555,148,7228,649,2275,723,2213,126,1465,83,1494,272,766,62,682,0,54,0,NE-02
1702,325,3734,863,508,249,1040,768,936,312,609,40,707,48,549,0,193,0,NE-03
3271,508,6080,649,2926,118,3629,1028,3117,221,1702,1081,2628,170,1481,0,616,0,NV-01
3600,60,8156,214,1833,317,3622,733,2678,416,1113,218,1286,141,1318,0,675,0,NV-02
7832,731,12644,1053,4615,199,5888,828,3986,600,3700,349,2572,237,2021,0,863,0,NV-03
6808,106,12228,1144,4647,503,4211,744,2449,354,2766,140,1024,204,768,0,597,0,NV-04
3232,56,5018,12,2111,140,1045,915,1179,0,1383,275,1139,0,455,0,377,0,NH-02
4541,783,6533,0,2273,253,1697,212,1741,171,1920,0,1140,0,653,0,396,0,NJ-01
2943,0,9194,0,1041,121,1499,301,1876,260,1620,283,1536,117,835,0,581,0,NJ-02
3249,0,10608,255,1365,135,2502,397,2071,451,1032,78,2346,133,888,0,241,0,NJ-03
5937,0,8965,287,3015,283,1572,447,1731,366,2116,388,1324,94,805,0,510,0,NJ-06
4706,0,6565,0,2117,403,2617,1274,2496,418,2582,706,2468,0,1324,0,538,70,NJ-08
3704,168,3824,123,2713,458,3048,143,2287,49,2060,571,981,309,1244,0,654,0,NJ-09
5846,65,7130,164,3705,392,3819,908,2161,117,1731,256,1686,211,1362,0,506,0,NJ-10
2849,0,3446,404,1471,288,1003,0,1199,0,945,443,836,0,311,0,370,0,NJ-11
3308,344,6873,116,1537,451,1216,374,1359,394,2417,236,1373,148,491,0,417,0,NJ-12
5550,32,6451,148,3316,290,3945,238,2510,316,2400,0,2573,97,1286,0,706,0,NM-01
1617,0,3575,85,2728,71,648,0,1015,0,1281,0,1390,0,458,0,690,0,NM-02
4148,122,8087,189,2594,4,2663,743,1720,223,2195,96,1900,288,1335,0,774,0,NM-03
2017,44,5054,172,1994,0,1407,103,2545,718,1658,266,1370,0,824,0,279,0,NY-02
4331,383,8926,25,1913,232,2508,835,2950,386,2980,91,2315,232,1794,0,143,0,NY-04
2719,0,5831,140,3421,360,2159,607,2310,20,4147,280,2939,361,1501,75,1129,84,NY-05
4105,113,4856,0,2555,122,3099,338,1531,131,2446,355,1726,268,1276,0,582,0,NY-06
3520,0,4832,109,2504,60,5597,1547,2730,584,2685,307,2482,188,2351,0,966,0,NY-07
3786,0,5454,0,2855,92,4447,359,3200,56,1827,95,1121,46,823,0,167,0,NY-08
3974,0,5320,0,2609,170,4591,634,3190,651,1566,0,1429,372,1396,44,290,94,NY-09
3510,132,4477,104,1520,33,4563,275,2163,104,1507,193,1444,242,977,0,1327,0,NY-10
2811,84,4577,0,1930,92,1854,455,2532,62,1183,152,925,0,86,23,641,0,NY-11
4423,394,6028,219,5017,507,4875,378,4755,1879,2873,588,3931,176,3439,284,1617,74,NY-13
2870,0,7521,69,2084,323,5225,707,4174,329,2114,56,2582,342,1348,0,810,0,NY-14
4111,0,4887,0,3904,562,4940,400,2053,426,2545,320,2555,213,1878,0,1215,0,NY-15
4376,28,6430,41,3829,382,3635,217,2535,150,3027,0,2487,140,1958,0,589,0,NY-16
1894,215,6859,0,2909,0,2946,300,2538,218,1368,50,1906,121,996,0,871,0,NY-18
3034,125,6312,154,1875,124,1342,377,2336,630,2158,244,1241,96,1052,0,298,0,NY-19
5175,0,12184,0,4992,411,3381,483,2513,71,1396,161,1247,0,1715,0,943,0,NY-20
1806,0,3697,0,1497,68,1500,131,1149,0,1253,216,1204,0,718,0,516,0,NY-21
4796,72,6341,81,2942,684,2648,117,2103,337,1082,0,467,13,480,0,249,0,NY-22
2493,0,6467,76,2298,246,1658,98,922,16,719,145,633,42,176,0,143,0,NY-23
3889,0,8426,0,3303,0,2767,204,2874,404,1619,44,1671,73,491,0,294,0,NY-24
3537,130,7412,76,1626,246,2913,330,2292,181,1154,87,1087,32,574,0,252,0,NY-25
4036,0,6896,50,2119,173,3309,351,897,108,1553,0,1079,130,872,0,166,0,NY-26
4072,0,4198,719,2415,817,1982,141,1021,330,1207,56,1102,51,1014,0,571,0,NC-01
4484,102,9049,413,1918,271,2161,207,934,84,1733,0,674,429,634,0,242,0,NC-02
2315,480,5540,380,1366,330,939,330,1317,380,496,418,400,411,508,0,539,0,NC-05
4866,325,7350,345,2186,209,1388,961,1422,0,2248,31,807,209,721,0,121,0,NC-06
2868,302,6023,710,2829,751,2461,832,2356,102,1093,73,978,399,915,234,146,0,NC-07
7210,336,10807,719,2399,889,4018,541,2883,907,1620,97,1000,108,601,0,399,0,NC-08
3878,98,5812,73,2008,482,2098,0,1744,286,1207,166,939,74,320,0,206,0,NC-09
2736,128,4903,212,1893,441,399,271,988,758,370,307,679,0,374,0,176,0,NC-10
1548,0,4923,668,1671,326,1572,168,701,297,235,117,393,238,435,0,359,0,NC-11
5768,124,8119,59,3244,189,3047,886,2415,604,2578,318,866,148,953,0,132,0,NC-12
3202,0,6507,730,3668,741,1800,195,1906,561,1630,484,724,10,524,0,398,0,NC-13
4689,680,6487,517,2591,278,3468,848,1496,764,1162,32,1244,87,371,0,121,0,ND-00
