Under_6_years_With_health_insurance_coverage,Under_6_years_No_health_insurance_coverage,6_to_18_years_With_health_insurance_coverage,6_to_18_years_No_health_insurance_coverage,19_to_25_years_With_health_insurance_coverage,19_to_25_years_No_health_insurance_coverage,26_to_34_years_With_health_insurance_coverage,26_to_34_years_No_health_insurance_coverage,35_to_44_years_With_health_insurance_coverage,35_to_44_years_No_health_insurance_coverage,45_to_54_years_With_health_insurance_coverage,45_to_54_years_No_health_insurance_coverage,55_to_64_years_With_health_insurance_coverage,55_to_64_years_No_health_insurance_coverage,65_to_74_years_With_health_insurance_coverage,65_to_74_years_No_health_insurance_coverage,75_years_and_over_With_health_insurance_coverage,75_years_and_over_No_health_insurance_coverage,stateId
20817,438,61053,1306,28197,1505,36969,3865,52265,2893,59959,3181,80055,3857,82409,225,53591,0,CA-02
26389,470,42595,949,33723,2959,102750,8265,78942,4471,55548,3315,54367,1989,46710,289,27504,0,CO-01
26232,1131,68043,5440,31376,3725,52532,6125,56223,8307,56457,6288,75218,7777,74975,203,45544,0,CO-03
39104,1403,93264,4576,39360,3121,59368,8538,76846,6789,80465,5020,85245,4362,64007,93,38863,7,CO-04
33214,668,89195,2938,70213,5818,73690,8609,79754,4237,80835,5117,91518,5830,73358,189,41424,0,CO-02
28776,331,72282,1812,27149,3871,54338,6321,66391,3411,65576,3629,69349,2903,50701,373,31050,74,CO-06
16134,0,17663,41,32100,1058,68931,1226,46852,481,24948,579,20359,232,16868,222,12729,0,DC-98
18494,536,50711,1168,40227,1608,46755,2899,42677,3630,58923,3948,73505,2304,56983,39,44242,0,CT-03
22936,1418,68104,3362,29144,4420,34739,2740,46670,2729,60696,3231,67619,2985,46950,309,39915,103,CT-04
26999,564,70264,1179,52313,2700,48757,4671,56628,2626,69851,4372,92185,2281,69703,44,47708,0,CT-02
21488,1155,48171,3674,23559,7272,26942,11701,36120,6450,46327,11493,80414,14718,121700,555,114893,146,FL-17
22286,2135,53120,8023,27736,5871,37191,12919,41805,11120,55622,11345,86491,13856,98743,786,73435,127,FL-06
14864,2330,28745,2497,29706,3861,28522,7831,24976,6692,28642,5215,37231,4141,30954,152,20099,194,FL-05
4789,454,9003,863,4113,558,8050,1782,7970,2207,5752,2173,10192,2141,8395,40,7529,0,FL-24
24796,1346,52092,3604,19573,7417,32749,9845,35063,8299,46990,11346,81412,10210,145433,257,127592,57,FL-11
15480,59,36062,2465,20380,2547,20270,4547,25961,3969,32491,4212,45601,3984,37882,167,30599,400,FL-23
22125,2523,61240,2326,28405,5868,35719,14130,41881,9645,59227,10513,88927,12371,91591,228,80005,253,FL-08
18562,1704,52254,2621,23275,4524,36208,9216,39340,6601,52757,6788,79036,7934,87066,384,86350,287,FL-18
6349,209,10484,561,7864,765,10198,3172,10374,1780,13729,2131,18039,3124,15863,158,22617,0,FL-20
8521,70,15928,1670,8353,2278,8352,2787,11068,3740,13958,1892,17331,5312,23262,0,26076,102,FL-25
23952,1778,64044,4280,48314,6458,41979,10373,44072,10140,47692,10683,66443,5545,60136,323,42000,56,FL-03
14786,366,32006,2341,16911,1853,36620,5953,30809,5375,35436,4959,40099,4981,26924,141,17929,38,FL-10
34278,2443,80137,5715,33669,5311,57946,14027,69062,7327,69269,9025,81588,9703,74867,150,47486,52,FL-04
18584,473,41497,2970,26282,6257,43944,10412,44403,8687,54295,10338,85010,10423,80308,323,66179,102,FL-13
7655,154,18142,1424,6224,2225,8057,3384,10438,2466,11798,2248,14153,2678,16415,307,8710,52,FL-26
15709,1496,38665,3887,20486,2759,31133,8753,35141,6569,52891,7643,64160,6925,64858,591,64781,182,FL-22
17954,579,48369,2014,20965,4358,31761,7053,31138,7746,39041,6714,46060,5407,50593,1749,39901,0,FL-09
18125,1624,42559,2926,25701,2810,31229,9481,33807,7536,46653,11473,84235,8136,124257,246,118352,0,FL-19
33614,2614,73151,5796,33439,7331,47910,17839,54071,9107,60887,9802,78226,10625,67100,220,45240,0,FL-01
21945,648,52713,2645,42958,4278,50793,9173,51254,6266,52856,5004,56579,5298,47072,86,34576,55,FL-07
9890,180,20203,1120,13283,1544,22301,1365,17444,1803,16883,3288,16975,1682,15285,94,14641,0,FL-27
29575,584,75688,2567,32192,8709,38378,7371,48513,9507,56859,8701,61929,7420,53601,215,35428,0,GA-03
27919,1781,73232,7435,42808,7395,42811,9015,47662,10701,53711,8732,55787,5855,52036,167,33661,17,GA-10
8597,535,16247,2565,10301,1917,14976,4879,16525,3640,18749,4763,23548,3208,22348,135,16702,40,GA-04
12345,1168,21852,913,28029,1887,48608,4213,34969,2255,27257,1222,21202,1413,18853,63,11704,0,GA-05
31901,2102,78027,6881,38509,9498,42341,13662,52607,12576,65073,13414,75273,13412,78444,332,53535,404,GA-09
20315,1651,54610,2881,19396,2991,30057,5353,37440,4095,46306,3268,48447,3823,36274,189,21842,205,GA-07
23888,434,65907,2191,25738,1986,39844,4105,49723,2042,69205,2779,67282,3654,45674,430,33815,0,GA-06
24599,1776,62643,4580,25488,7969,36061,13133,42611,7909,41875,10897,49754,6644,50643,659,31673,0,GA-01
29389,1700,72806,4025,36297,5002,50352,9137,57752,8154,66325,9010,66206,6762,53832,0,30069,78,GA-11
24007,991,54378,4729,24588,9006,32364,9186,37961,9323,40699,9064,49013,7649,44742,778,35597,184,GA-08
52040,1554,113107,4794,55408,9349,65060,14147,72698,12728,64280,8670,80177,8819,69601,41,45498,243,ID-02
6311,0,10082,150,7553,859,12833,858,12872,436,8902,334,11615,170,12466,0,7481,14,HI-01
15030,509,31379,996,20200,774,24400,2234,28003,1707,28434,1554,36165,2429,28385,0,20463,0,IL-01
10125,137,16786,104,20844,1204,53462,1703,29691,1648,24288,1240,24836,1882,21144,729,9745,49,IL-07
10094,110,19138,69,12365,1700,14406,1684,16542,1417,20530,1006,27867,1440,24750,120,18781,144,IL-02
31753,763,50280,1227,40852,2780,89168,5255,70130,5945,56567,5175,51949,3095,38322,88,31663,236,IL-05
29092,357,74540,1928,63838,3515,52121,4654,57122,3714,59609,3909,75868,2545,56642,790,43005,230,IL-13
30758,605,76756,2614,33683,1187,42431,2963,59322,2983,73112,1782,88125,3619,60911,312,41630,125,IL-06
17923,1256,54662,1169,22802,2015,29280,3962,38726,2211,49393,2419,62605,2979,46704,168,35204,0,IL-10
7995,235,11941,265,11584,511,32685,3061,22961,1467,15922,1167,19032,1097,14963,219,10666,172,IL-04
25777,942,57127,645,29759,1162,46569,3804,53328,2644,55225,2364,61420,3723,53022,22,44159,0,IL-09
30504,1164,68679,3315,35514,3972,48540,6995,54624,4545,59003,5282,74254,4497,57809,0,44579,229,IL-12
18307,538,39476,2148,23427,1661,38382,4574,38660,4136,47296,3883,56881,4086,41367,150,29925,241,IL-08
40853,2133,101742,4743,64091,4830,64460,7987,72603,9915,78789,5709,87577,5284,71123,80,45262,0,IN-09
39560,3458,94956,5998,48521,8090,57861,9299,66712,7410,70004,6838,86716,6001,69312,236,48333,283,IN-08
26403,1619,61413,1992,27904,2905,40647,5887,50356,4412,53807,3802,66204,4057,52704,128,36225,0,IN-01
41684,1366,100442,5045,42527,5519,62619,9807,76863,7643,78690,4787,83397,4059,62200,61,43038,85,IN-05
26562,792,43841,3476,32460,5316,50819,7083,40115,8393,42808,5414,51015,4571,39338,108,25414,0,IN-07
44056,856,100389,1563,57727,4153,64589,4321,74387,4471,77468,3050,93722,3647,74615,328,56860,174,IA-01
