Under_6_years_With_health_insurance_coverage,Under_6_years_No_health_insurance_coverage,6_to_18_years_With_health_insurance_coverage,6_to_18_years_No_health_insurance_coverage,19_to_25_years_With_health_insurance_coverage,19_to_25_years_No_health_insurance_coverage,26_to_34_years_With_health_insurance_coverage,26_to_34_years_No_health_insurance_coverage,35_to_44_years_With_health_insurance_coverage,35_to_44_years_No_health_insurance_coverage,45_to_54_years_With_health_insurance_coverage,45_to_54_years_No_health_insurance_coverage,55_to_64_years_With_health_insurance_coverage,55_to_64_years_No_health_insurance_coverage,65_to_74_years_With_health_insurance_coverage,65_to_74_years_No_health_insurance_coverage,75_years_and_over_With_health_insurance_coverage,75_years_and_over_No_health_insurance_coverage,stateId
12305,274,35467,795,15682,3562,15589,5302,20177,3664,21000,2063,23001,1827,14197,0,8114,0,AL-03
9682,468,22616,568,15699,3089,11890,3390,14826,2229,14633,2322,13659,1179,9649,0,5501,0,AL-05
2563,155,8916,471,4005,2048,3956,1246,5763,1587,5094,727,6146,523,3355,0,3048,0,AL-04
32055,1197,72469,3106,35973,10221,38376,11188,37119,10049,42130,5264,48704,6430,38632,211,22689,41,AL-07
18566,470,36680,994,18787,4747,21812,7901,21730,5206,18841,4719,20468,2336,16951,0,8427,0,AL-02
6751,419,19605,493,9493,1404,12220,1964,19915,1057,11093,1498,12202,814,7145,9,3049,0,AL-06
1403,15,2760,46,1866,295,3293,484,1693,86,2367,105,2579,153,1790,0,465,0,AK-00
1315,0,4070,326,2332,69,1797,329,2668,285,1532,1068,2704,0,1406,0,885,0,AZ-01
2542,499,6559,1318,2945,1050,2929,1190,2700,557,2987,493,2325,623,2902,0,1278,0,AZ-03
1542,128,6179,372,2770,617,4863,332,3671,440,5443,745,2827,134,2494,0,1149,0,AZ-05
,,,,,,,,,,,,,,,,,,AZ-04
11119,224,16952,1305,7212,830,10325,2201,10482,1982,6225,989,5795,406,5140,62,2245,0,AZ-07
2462,108,4767,275,3654,131,5165,361,2550,647,2500,75,3554,236,1547,0,854,0,AZ-02
1523,306,2154,197,2932,1113,3306,926,2422,1518,3117,157,2356,136,1185,0,1035,0,AZ-06
2387,0,11625,894,2633,541,2336,286,4194,776,4145,967,3702,376,2810,66,1721,77,AZ-08
2252,0,4579,435,3886,786,2801,336,2582,632,2878,338,1657,211,916,142,479,0,AR-03
15108,327,32025,1652,15969,4412,20050,3448,21689,2619,18588,2129,17259,1855,12495,190,5787,0,AR-02
2738,0,7762,0,3398,81,2789,746,3731,0,4011,70,4074,280,3984,0,1675,88,CA-36
1387,101,1102,81,2285,85,2277,302,2537,304,1052,196,1395,387,852,0,240,0,CA-46
