Under_6_years_With_health_insurance_coverage,Under_6_years_No_health_insurance_coverage,6_to_18_years_With_health_insurance_coverage,6_to_18_years_No_health_insurance_coverage,19_to_25_years_With_health_insurance_coverage,19_to_25_years_No_health_insurance_coverage,26_to_34_years_With_health_insurance_coverage,26_to_34_years_No_health_insurance_coverage,35_to_44_years_With_health_insurance_coverage,35_to_44_years_No_health_insurance_coverage,45_to_54_years_With_health_insurance_coverage,45_to_54_years_No_health_insurance_coverage,55_to_64_years_With_health_insurance_coverage,55_to_64_years_No_health_insurance_coverage,65_to_74_years_With_health_insurance_coverage,65_to_74_years_No_health_insurance_coverage,75_years_and_over_With_health_insurance_coverage,75_years_and_over_No_health_insurance_coverage,stateId
7880,0,17720,1421,7421,1036,6814,2913,7335,3725,10246,1544,5003,1195,3040,174,635,0,MD-05
3441,302,5742,593,2051,275,2295,1530,3871,1186,2447,480,2230,0,1051,69,1003,0,MD-07
8276,121,12709,2179,4021,1721,5468,2688,6783,1991,4224,1222,2724,317,1310,276,443,0,MD-02
10187,201,22899,576,7645,2059,9361,3090,9393,7846,9683,1406,6509,1306,5050,166,1814,200,MD-06
16139,378,25566,3516,8553,5245,8655,8808,12743,8283,13621,5467,7191,3061,5424,162,3999,0,MD-08
2430,0,8806,235,4763,520,4455,903,5912,447,4186,169,2467,116,1618,0,546,0,MA-04
15123,476,35749,1110,23137,2276,24304,4847,24228,2655,18682,1415,14313,1284,7284,264,5040,0,MA-07
8325,64,16230,563,10844,717,9882,1425,9772,332,8291,565,5826,108,3669,0,1866,0,MA-02
6556,182,12093,604,4460,287,4929,1064,5282,366,3838,86,2074,28,1659,0,566,0,MA-09
4848,150,7430,44,3386,415,8124,53,6709,178,6185,247,3327,239,3398,0,1305,0,MA-08
13325,391,34187,217,17094,1610,18027,930,17872,383,13838,954,9943,344,6564,33,2472,0,MA-01
8616,0,14272,84,8697,1042,12065,1378,10375,1582,8422,970,4423,429,2495,0,1502,0,MA-05
845,27,3319,363,1833,309,892,495,750,220,1241,66,1106,177,979,0,172,0,MI-01
8451,685,18236,1580,7384,1726,6317,1068,8389,2003,6583,934,4801,233,2235,264,610,37,MI-02
3571,207,7966,920,2950,320,3446,1185,1992,1530,2348,778,1948,258,1541,207,1473,0,MI-14
5967,647,14590,1282,5522,1945,5990,3560,5490,2350,4419,1406,2659,687,2067,536,426,0,MI-03
4178,140,7943,129,2689,819,3339,441,4254,840,3194,53,2962,284,1849,0,780,76,MI-05
5696,31,15187,1266,3679,2013,4172,1358,5002,3935,3716,1365,1762,790,1091,0,815,0,MI-13
1438,77,3182,399,1469,92,3575,331,2339,411,1931,435,1550,25,820,0,431,0,MI-09
3450,0,9133,183,5984,857,3612,920,5093,599,3714,420,2556,42,1201,0,839,0,MI-08
4743,84,9068,1491,2571,813,4447,1203,3951,1677,1747,637,1068,177,505,8,291,0,MN-07
3513,37,6775,366,2122,332,2964,486,3142,427,1169,156,1978,273,352,11,164,0,MN-06
6335,153,11659,1517,3213,1557,4225,3360,4216,1872,3355,1324,1648,162,1175,0,198,0,MN-01
3597,302,7689,347,3199,393,2891,462,3519,1224,2884,322,1320,0,731,0,246,0,MN-03
7906,0,17473,942,7062,1745,7588,3123,7375,4146,5775,1958,3421,857,1482,20,535,74,MN-05
8461,330,16401,2267,5082,2441,6160,2387,3610,4443,4909,2739,2486,1611,1619,42,977,35,NC-13
6505,997,15855,1304,4224,2406,2346,2627,6106,4580,4259,2212,3248,465,1532,117,1332,49,NC-09
3351,421,5887,561,4229,710,5976,1358,2529,489,1598,263,1080,30,520,0,300,0,ND-00
2527,51,3629,358,2099,129,2365,801,1866,424,1323,282,1048,0,413,81,367,0,OH-02
804,0,1572,27,431,0,996,550,252,327,882,219,1236,97,415,0,143,0,OH-06
2322,94,7252,59,2599,249,2319,485,1785,923,3060,247,1954,470,1729,0,1105,0,OH-04
1864,515,4634,47,1406,251,1055,898,1768,466,2004,663,1491,0,907,0,877,0,OH-16
