Less_than_high_school_graduate,High_school_graduate__includes_equivalency_,Some_college_or_associate's_degree,Bachelor's_degree,Graduate_or_professional_degree,Male_Less_than_high_school_graduate,Male_High_school_graduate__includes_equivalency_,Male_Some_college_or_associate's_degree,Male_Bachelor's_degree,Male_Graduate_or_professional_degree,Female_Less_than_high_school_graduate,Female_High_school_graduate__includes_equivalency_,Female_Some_college_or_associate's_degree,Female_Bachelor's_degree,Female_Graduate_or_professional_degree,stateId
32119,31623,41339,52181,68179,35611,35811,51246,63413,82134,25485,29479,32202,46767,59112,AZ-08
26988,30631,34244,48804,68030,31690,36315,42145,63079,88287,23794,24118,27273,40034,56496,AR-03
23061,31213,32805,49732,61916,30650,38089,37174,54506,71226,18575,26224,30039,44272,57526,AR-02
22631,32036,36899,46786,76392,27551,37521,40725,50627,78005,14948,27483,32390,43441,75808,CA-36
26690,30679,39150,53042,72841,32141,34425,42781,63695,71496,20857,26601,35035,47242,76964,CA-46
32182,42303,49293,77069,102676,43603,51220,51543,94897,141765,25920,31646,41732,65080,82323,CA-33
33165,46469,54027,87461,121499,36474,50857,61423,101178,151577,25081,38168,47511,72568,90958,CA-15
25138,32111,41031,60249,81543,29169,37284,48898,65355,92635,18890,27245,33839,52284,72118,CA-47
25953,31377,37756,54564,72611,26422,36631,48354,72129,98854,22925,26880,30900,45234,59101,TN-08
28506,32264,36207,49875,61431,31033,39058,45741,61102,81094,19202,26484,30313,41628,51041,TN-06
27555,30838,33390,48361,65969,32352,37388,40060,53907,62489,15932,24334,27241,45567,66488,TX-29
23372,31655,35151,51723,61217,26702,40998,50397,61196,77150,16641,23620,27079,46994,55666,TX-27
31066,32496,43167,60307,70188,37163,41859,61434,71316,82013,19609,24287,32156,52502,61904,TX-14
27398,31646,39133,51638,65517,31746,37024,45426,60174,90128,18485,24849,32314,50227,59998,TX-05
26764,31850,42280,57337,76355,31951,40682,53788,77493,101034,21102,25539,36082,49505,62467,TX-10
25115,31269,35164,51862,56639,30187,35410,38979,56426,61264,20400,25155,30730,49292,52531,TX-35
29677,37366,45405,71333,100793,31702,44481,55110,90938,128787,20047,30303,39375,58677,65433,TX-22
28992,30484,33655,47035,58034,35653,36530,44500,61035,62490,16155,22440,27219,39985,52363,TX-19
30087,31387,35903,51455,78683,41307,45077,47473,74536,94677,17386,22669,26526,32950,55380,UT-03
27213,32573,37117,49039,69380,30895,42207,46983,61356,84891,24094,26372,27183,38438,60167,UT-02
22408,32128,37136,47541,61133,27432,38405,45786,57354,66307,20380,25851,31582,41219,56463,VA-03
24518,30127,37624,51859,66336,30731,35415,42816,70196,90334,16654,25897,34094,46118,56081,VA-04
21631,31423,39524,52684,70577,26300,37212,45957,65783,92244,16613,24580,32318,43412,56626,VA-02
24366,31787,37949,50765,57131,30906,37874,45738,61647,72345,19594,26965,32292,44501,52052,VA-06
39587,42133,46577,77096,106567,44040,54020,60178,102272,144895,21849,32166,33959,54536,77435,WA-01
27558,31704,36564,48726,66379,29481,39400,42293,61087,85768,24462,25766,31046,41012,60682,WA-05
33945,40647,43231,60100,71223,42629,47385,51465,75587,79717,25729,31085,35321,45759,66322,WA-02
29569,33831,40303,54537,72364,32141,40027,49459,66650,90101,23685,28859,32246,44946,65611,WA-06
19871,30492,31048,43196,49427,26610,38843,40784,48284,51574,12898,21723,25949,40166,48499,WV-03
29061,35262,42087,60288,70885,35125,40862,52294,72137,80249,22057,29083,35434,49133,65633,WI-01
35323,36748,42494,61923,75488,37202,42631,50688,77989,96346,29077,27995,36861,50533,63030,WI-05
29039,35174,40991,55999,68550,31135,41349,47552,62882,82546,24659,30282,36919,51136,60895,WI-02
29982,36929,36885,47962,61288,34420,51652,51650,56735,61460,17688,26036,28930,36361,61187,WY-00
19524,32715,38943,54414,66877,25123,42290,50504,71063,82149,13522,25998,30622,45369,61078,PA-14
30980,35811,42212,70304,93078,34396,40916,53247,86183,121316,22523,31040,33138,52485,71891,PA-06
30343,31968,36339,46122,61539,36796,39382,43998,56507,70599,16964,24651,30754,39790,55678,PA-12
26855,35357,42675,62498,84619,36850,41180,54400,77943,101354,18653,28953,35269,50977,67126,MO-02
25390,29550,33954,51290,61599,26809,33056,37347,60625,68791,22061,26628,31205,43586,55159,MO-01
25448,31838,36607,50633,60965,27997,37665,44544,56103,66350,20109,26714,31412,43810,57063,MO-05
32173,32470,38446,49591,58806,35946,40381,47067,60458,66750,26527,26147,31519,41509,52106,NE-01
27218,31908,42249,56184,66027,32076,39337,50660,70317,85822,22299,25708,32670,46631,57300,NE-02
30303,33165,40104,50171,61082,32935,37061,45307,51427,71580,23361,28843,32976,47778,54050,NV-04
27471,36688,45096,61024,75341,35405,42696,53358,73464,95195,23926,30212,34914,50990,65476,NH-01
26645,37582,46813,66097,82495,32264,47727,55800,81240,97368,19952,27388,37915,56632,71880,NJ-03
31315,38813,43275,65426,88298,35866,50846,60514,82194,111940,24886,30951,32494,52286,71319,NJ-04
27794,32448,40143,60166,77627,30379,39058,49821,70199,101622,21164,27047,32161,53373,65894,NJ-02
31392,39856,53799,80767,101159,35287,51117,67571,100513,125988,26804,30360,42118,65090,84614,NJ-11
27386,30205,39825,66064,99266,33069,35144,48440,75429,110224,18573,21885,32645,59361,83322,NJ-08
19485,27063,31591,41130,59300,27499,37661,42827,46641,65761,11029,20802,25365,38600,55804,NM-02
25892,32087,41921,60729,76584,31235,35720,50036,68051,93204,17563,28182,36140,51321,65696,NY-20
25420,32410,37685,51713,62476,30018,40369,48239,61759,74604,16275,26774,31944,42059,58966,NY-21
29236,40115,47099,70479,91128,31608,51060,55604,81065,101960,20731,28307,40966,61414,80823,NY-04
25859,32417,38781,51495,60157,31344,39208,46946,61278,66363,21259,26528,32374,43579,56992,NY-22
25168,34597,40021,51237,69800,30344,40369,47023,61625,82096,22199,27775,33118,41423,65397,NY-19
30016,35885,41616,58287,67328,32290,41902,50911,71046,86914,23324,26836,35910,46411,59691,NY-27
28242,31432,40586,55258,71336,30475,35769,41574,55514,76590,22971,26444,37012,54848,69731,NY-14
26058,31397,40006,51833,66205,31464,36535,47329,62108,73171,21139,24985,33913,46731,61632,NY-24
25679,32273,44454,61855,92200,29497,36965,51259,75667,103735,20441,26402,36938,51854,76239,CA-26
32656,39363,47553,81781,111783,37497,42490,55438,100511,142181,24923,33096,41911,62377,90906,CA-19
25722,32441,41027,60015,80507,29097,40602,45598,76278,96972,19620,27330,36200,47147,62019,CA-24
27718,35287,37274,57249,80105,31371,40964,41626,61527,82705,21002,29450,34738,55167,76583,CA-06
27075,40433,47716,74350,101394,33419,46974,58361,92492,126111,20145,26343,39426,57335,81627,CA-11
26613,31360,40585,50212,73735,32935,37966,46115,52257,84056,19237,24464,31681,46902,68187,CA-08
25302,31984,40985,61256,76837,29548,36403,42437,68391,93698,17755,26935,38349,52440,66459,CA-28
24159,34165,47237,94808,122443,23644,35900,55508,107991,150949,25234,31340,38608,80591,102211,CA-12
25924,36666,44047,73675,95043,26871,43348,51719,92049,109990,22038,29563,36857,53471,80799,CA-04
26994,34662,37158,50165,72098,34640,38086,42406,57378,92703,20939,28525,32911,45092,60731,CA-41
31330,44875,51020,91597,130821,37348,48496,57832,111981,150296,26414,39042,46646,70408,107459,CA-17
25856,35949,41695,51096,76999,31286,40161,49214,60149,81514,20871,30122,36105,46708,72041,CA-38
27450,35754,36370,51033,72516,45302,40122,44239,62845,92148,14256,26669,29778,42291,53552,CO-05
32865,36177,41406,61235,69458,41407,42081,51192,71305,85175,18753,30428,33448,50892,61886,CO-07
31024,33671,38048,56603,70579,39075,41265,45961,66934,84397,19243,28688,34361,50667,61011,DE-00
24207,35483,45435,65212,81079,24241,41519,52990,75409,93868,23969,27850,37003,56618,71370,CT-01
22154,37498,43188,61074,82322,26823,45778,53176,75486,105073,17364,27914,36722,51065,66648,CT-05
24216,28552,35329,51426,75831,26500,31793,39676,61130,95143,20548,23959,31801,43562,61977,FL-14
23115,31351,36753,51757,68018,29620,35679,42476,65860,91122,20908,27358,33483,42763,54278,FL-16
24387,31023,35714,45818,57344,26830,35173,42127,52222,74779,20619,27637,31468,42711,52264,FL-15
25397,31191,37942,52011,65994,25371,35492,45437,63445,79505,25435,26043,32494,47453,59972,FL-12
26102,27752,33981,46798,61560,30897,32080,41333,55619,75897,20294,22425,30878,41677,55296,FL-02
22678,28945,35756,49502,62241,24521,31544,41672,55629,91431,17212,25192,31412,42510,52110,FL-21
30104,32012,38424,49590,62330,33518,37384,44274,50768,66723,24048,25808,35090,48972,61411,GA-13
21382,28075,31015,41461,54428,22136,32693,37378,50311,65018,20387,20902,26282,37342,51971,GA-02
27032,31971,36108,46930,66449,31066,38105,48175,59293,71429,22271,24183,29316,40425,60202,GA-14
22248,30942,32238,46622,62160,26180,35336,43910,60047,88460,19118,22978,25466,41940,53464,GA-12
27153,31810,35396,48239,57275,31691,37716,44055,65520,65518,21201,25410,26920,38770,51612,ID-01
31506,36321,40157,50654,67341,31572,40786,45337,63227,69972,31447,30827,35775,44903,66317,HI-02
26625,32471,37988,55449,71237,31762,40382,45792,68234,86107,19519,25512,32022,45093,58076,IL-18
30268,40989,42446,68407,81805,37200,48735,58377,92384,111487,21084,31147,32013,48693,65657,IL-14
29048,35087,40350,50807,65695,32679,45304,55063,66217,77469,25214,25697,29284,40466,59920,IL-16
23270,30344,33191,47424,57910,27304,39804,44296,52478,65612,16531,21715,29296,43231,55055,IL-17
28000,37273,43484,57382,76209,32118,42242,52803,64119,100112,23149,29829,36137,51969,65931,IL-03
28761,35563,41460,62142,78027,31994,43993,52426,80986,92509,22108,26165,32137,50732,62111,IL-11
26319,31955,35969,49262,62583,29787,40793,47086,63570,76698,21492,22632,29087,40909,56822,IL-15
30273,32991,34615,46433,57617,35155,41695,46087,55751,70747,20168,24444,28524,37508,50785,IN-02
31366,32038,36449,50866,61648,37493,40530,46062,65018,70823,19086,25210,30254,42405,56647,IN-06
32002,32229,38663,47063,61935,39984,41505,49436,61867,76713,22023,25256,30894,39402,51293,IN-03
27189,35167,40102,50714,62260,31033,42340,48997,61590,77511,21916,25920,30385,41349,51200,IN-04
31607,31777,37631,48213,59684,37004,40504,47081,56401,65050,21397,22931,30788,41202,56000,IA-04
30827,33514,40976,59232,71502,38071,41649,49008,70015,81999,21961,26332,33881,49776,64473,IA-03
25380,31860,35847,48592,60824,32893,38201,45879,60239,81335,20119,24042,29018,41521,51268,KS-04
25029,31731,36890,53090,56907,27943,40087,46796,66757,66038,16384,23934,31575,45967,54115,KY-02
23714,31272,36587,50748,63790,32261,36324,43464,56572,71999,18595,25690,31773,45023,56943,KY-03
28021,35237,40310,56370,64418,32706,40059,51814,68475,81063,21228,28345,31864,47123,58091,KY-04
31947,34280,41198,54795,62093,36907,47411,55791,65359,78303,21624,22394,31780,48538,53329,LA-06
25557,31934,37425,50368,64506,30357,47301,53128,62978,95574,19798,21920,29885,40851,51324,LA-03
33771,44603,44629,72004,88004,41344,51074,60249,91543,101795,27604,31947,37465,56030,80457,MA-06
32425,37236,42467,71217,91594,40836,43257,52281,87401,121540,23289,30271,37037,56095,74411,MA-03
21263,32616,38088,55911,69327,24315,39234,47705,70963,76487,16306,25328,31272,46593,65586,MI-07
25997,30558,36527,46416,67738,31384,37046,45296,56798,90400,20132,23691,30006,39523,56911,MI-06
23303,32362,40797,60801,76503,26894,42165,55873,73980,90560,17681,21584,28893,46541,66677,MI-10
22576,30996,35302,51786,66348,27260,38182,44769,65386,77496,16787,22014,27081,41794,61223,MI-04
26844,35766,40231,70676,91048,35455,45395,50423,89377,115033,21195,28758,32364,52628,72229,MI-11
22415,33970,40542,55474,69060,30822,41065,48226,65981,86053,15082,25655,31932,47046,58402,MI-12
27103,37172,45712,66039,80444,36450,44883,56370,81031,90118,20044,29596,38389,52593,72454,MN-02
26751,32876,40054,51098,66011,32126,41234,50500,61348,75921,19923,24410,31336,45753,61941,MN-08
27217,31179,40917,56479,76186,30688,34724,46731,67373,89496,24730,27042,33713,48113,69228,MN-04
26775,30652,38711,54237,70897,30152,31926,41820,61604,82559,20893,27131,35473,47379,62690,AZ-09
25438,27984,30955,42454,59141,27820,32961,40357,58634,64546,19925,21768,26004,37090,54489,AR-01
24238,27942,30753,42180,55860,26262,32126,37273,52674,61205,17971,22431,26546,39020,53517,AR-04
25908,30399,32031,43857,78723,30774,34517,41375,49982,99843,17105,22498,26248,38364,65515,CA-16
23459,31127,35969,65806,80724,26022,34390,38259,75957,92367,19745,26638,33335,60403,73269,CA-37
25971,31843,43856,59935,80486,31250,39015,50602,68328,86725,21340,26543,36735,50195,74439,CA-53
25926,33361,36840,53786,79929,30756,41274,47563,61296,96255,21634,27672,31720,47671,66857,CA-31
26357,31694,36989,44144,57567,31233,37205,46524,58873,62847,19872,23434,32356,38867,54512,TN-04
28825,31472,35731,44873,60751,32280,37028,44056,51448,72008,19114,25217,30653,38731,55855,NY-23
27278,33280,45893,66449,92821,30358,40884,52995,71656,122767,25690,24881,40985,61743,82016,NY-16
24037,37207,48190,65381,78333,26907,43435,60397,72390,85853,18373,27198,39049,57414,75981,NY-11
21833,26985,31028,45071,60184,26054,31300,35544,46363,60951,16781,21975,29274,42800,58523,NY-15
25710,35052,41245,65195,77392,27024,40894,43231,66392,81565,22353,30784,40333,63016,75414,NY-08
23408,41541,51929,96433,110445,25524,48389,61424,109403,146306,21971,36788,40797,82485,91554,NY-12
26904,37353,46649,66182,90271,34435,45267,61185,82259,106273,14967,27333,37048,54549,79496,NY-18
23176,27273,30040,48917,62478,27046,31046,36103,59571,72106,14425,24983,26397,42756,59832,NC-01
21346,28867,32762,45246,58012,25737,32654,40378,51031,74754,16351,21515,27607,41530,52378,NC-07
26391,32147,40011,62453,72951,28354,40495,47491,86304,102098,20665,25675,31003,47829,58581,NC-02
24346,30288,37072,51416,60499,29197,36540,43963,61498,86199,20210,22723,30717,45905,51727,NC-06
22191,30558,35628,46765,57460,22664,35270,44042,57679,68410,21595,25055,30224,41242,51537,NC-03
26656,29499,35086,46853,53377,30731,33962,39745,59876,61975,19363,25538,31242,41373,50122,NC-10
