Income_in_the_past_12_months_below_poverty_level_Male_Less_than_high_school_graduate,Income_in_the_past_12_months_below_poverty_level_Male_High_school_graduate__includes_equivalency_,Income_in_the_past_12_months_below_poverty_level_Male_Some_college__associate's_degree,Income_in_the_past_12_months_below_poverty_level_Male_Bachelor's_degree_or_higher,Income_in_the_past_12_months_below_poverty_level_Female_Less_than_high_school_graduate,Income_in_the_past_12_months_below_poverty_level_Female_High_school_graduate__includes_equivalency_,Income_in_the_past_12_months_below_poverty_level_Female_Some_college__associate's_degree,Income_in_the_past_12_months_below_poverty_level_Female_Bachelor's_degree_or_higher,Income_in_the_past_12_months_at_or_above_poverty_level_Male_Less_than_high_school_graduate,Income_in_the_past_12_months_at_or_above_poverty_level_Male_High_school_graduate__includes_equivalency_,Income_in_the_past_12_months_at_or_above_poverty_level_Male_Some_college__associate's_degree,Income_in_the_past_12_months_at_or_above_poverty_level_Male_Bachelor's_degree_or_higher,Income_in_the_past_12_months_at_or_above_poverty_level_Female_Less_than_high_school_graduate,Income_in_the_past_12_months_at_or_above_poverty_level_Female_High_school_graduate__includes_equivalency_,Income_in_the_past_12_months_at_or_above_poverty_level_Female_Some_college__associate's_degree,Income_in_the_past_12_months_at_or_above_poverty_level_Female_Bachelor's_degree_or_higher,stateId
4405,9859,7094,3165,6710,13959,10235,3695,21295,66668,59479,67795,16501,67966,74128,77255,AR-02
9008,9117,7356,4890,13277,12513,11652,4045,36131,58667,73932,63457,34965,56310,79010,58450,CA-36
8758,6879,3311,1866,12489,7963,4216,2272,63209,55006,51186,45681,53510,46358,56843,50585,CA-46
1342,3461,3713,5196,955,3089,5293,9849,7940,16845,44191,161072,6674,24059,50556,162061,CA-33
2515,2899,3100,3054,3095,4362,4265,3693,20668,46451,57672,130332,24390,46452,66959,126682,CA-15
8143,6123,6347,3439,12257,8294,8142,4124,33216,44649,63300,79762,34595,41090,61770,83446,CA-47
6564,8213,4769,1412,6059,11808,9907,1942,18560,62847,54755,66827,16260,69511,58322,78881,TN-08
7696,9380,4640,1617,8495,13881,9765,2663,28407,86767,62568,61603,21890,80640,75140,73391,TN-06
13363,10876,4635,1822,23510,15648,9780,2115,70821,60904,41897,21134,49459,55179,45858,27826,TX-29
8852,6603,7562,2624,14423,13342,12221,3705,29766,74391,63533,42655,26486,62022,67301,49805,TX-27
4356,6257,5292,1552,6351,10405,9519,2743,24505,63197,71438,56700,21276,58233,75870,64657,TX-14
7174,5905,4444,1640,10160,11667,8801,2630,38520,66112,66575,41453,28608,64761,69818,52739,TX-05
2998,3644,3954,4471,6033,5181,6325,5346,23139,64200,73303,114449,19290,61365,83690,127436,TX-10
9947,10931,7313,2626,16350,12981,10920,4166,41148,69332,64684,62587,40120,58128,65815,70365,TX-35
4102,3520,3864,2948,4397,4776,6643,4311,23949,47187,74137,135025,21019,50716,89559,139904,TX-22
6882,6819,4539,2159,8858,10469,8515,3896,27543,54498,56722,49129,23959,54481,61061,52420,TX-19
1793,2904,4479,4106,1554,4637,5972,4600,8965,34077,64739,92194,9079,37200,75598,81691,UT-03
3651,4632,6675,3486,3220,5430,7011,2907,16562,50898,76085,79684,14650,53696,87611,71504,UT-02
2947,8179,4401,2448,7191,11923,11401,5013,20940,64550,69948,55761,19775,58258,84059,70060,VA-03
6600,7381,4446,3111,8995,8752,9766,2668,25214,63372,62604,68370,19657,63111,73368,89347,VA-04
3322,4428,4608,2263,3769,5250,6538,3492,14286,46493,74531,81062,14522,44442,82011,97364,VA-02
5170,7780,2791,3638,6011,10614,6437,4317,24921,76456,57654,61270,23503,69202,69018,75507,VA-06
1980,4839,3019,2734,2870,4734,7500,3883,15762,48782,72195,121851,9685,45812,79541,120773,WA-01
4306,9723,7567,2628,4412,8530,13897,4300,11312,48992,84178,66995,10856,47273,86921,76395,WA-05
1844,5155,6234,2455,4049,7070,9280,4459,18353,53811,87292,81901,15299,50181,93508,90150,WA-02
2319,6277,8229,2729,2201,7306,8670,5007,13787,57713,80621,80209,11587,55194,91005,85927,WA-06
8507,13339,4294,962,9225,16501,9031,1916,23152,77154,36564,28972,25256,60759,47064,37201,WV-03
3751,6027,3022,1274,3142,9647,9034,2527,17527,65999,71376,69381,13187,62130,75006,79248,WI-01
1872,4705,2441,2203,1681,8205,5627,2400,12205,63114,76588,90068,10128,59212,73771,105510,WI-05
2240,5247,5037,3439,2521,6184,6188,3774,11462,56173,61846,108491,9796,49582,65972,118403,WI-02
1366,5268,3986,2905,1456,6337,5678,2945,9666,59539,59605,51157,7856,43566,66219,55878,WY-00
4714,9044,4052,1688,5910,13881,8859,2418,12910,82157,55496,64865,11171,79234,63803,67567,PA-14
3139,3276,3196,2753,5186,6643,4980,3705,17431,55140,43139,110602,16219,53890,48425,113359,PA-06
4552,9558,3014,1933,4943,12149,4941,2339,21140,91888,47845,49350,16352,84168,52956,59280,PA-12
910,2517,2276,2554,3207,4043,4702,3185,9672,40679,56507,133775,9545,48541,71144,139782,MO-02
