total,veteran,veteranNoHighSchoolGrad,veteranHighSchoolGrad,veteranSomeCollege,veteranBachelorsOrHigher,nonVeteran,nonVeteranNoHighSchoolGrad,nonVeteranHighSchoolGrad,nonVeteranSomeCollege,nonVeteranBachelorsOrHigher,stateId
474376,48699,3717,22203,13896,8883,425677,46597,179928,97301,101851,PA-12
544061,43184,1605,9560,14480,17539,500877,23794,92579,131756,252748,MO-02
494223,38269,3274,10394,15215,9386,455954,50433,118352,137197,149972,MO-01
524454,45200,3076,14051,16771,11302,479254,50128,147136,143180,138810,MO-05
409144,41053,2056,11303,15254,12440,368091,29155,96370,124476,118090,NE-01
433436,37296,1512,8295,13895,13594,396140,35213,83493,116052,161382,NE-02
493693,58172,2135,13859,26227,15951,435521,67752,134905,144505,88359,NV-04
481076,47858,2584,13571,16743,14960,433218,29926,114691,122563,166038,NH-01
522805,46371,2638,15640,15075,13018,476434,33302,146233,130326,166573,NJ-03
500884,33272,2033,11202,9894,10143,467612,33618,119789,115945,198260,NJ-04
502700,37814,3268,13730,11786,9030,464886,59458,156207,122588,126633,NJ-02
520921,25953,1129,7947,6499,10378,494968,25000,100626,93898,275444,NJ-11
530137,10760,1396,3782,2867,2715,519377,104367,144866,93624,176520,NJ-08
448171,48225,3483,12825,19057,12860,399946,81471,117708,121749,79018,NM-02
495452,38528,2463,11179,13357,11529,456924,37064,112230,127298,180332,NY-20
482481,49926,3440,18614,18299,9573,432555,47622,153976,124967,105990,NY-21
499070,22182,1182,6740,6684,7576,476888,50583,111659,108469,206177,NY-04
473604,44143,3255,16051,15672,9165,429461,45588,142490,130987,110396,NY-22
502097,41695,3085,15571,13581,9458,460402,46144,143545,130616,140097,NY-19
513276,45852,2983,16351,16039,10479,467424,31858,140287,145037,150242,NY-27
498294,10988,1402,3572,3437,2577,487306,109098,146981,100340,130887,NY-14
483375,41150,3365,13495,14322,9968,442225,44363,124008,133259,140595,NY-24
530160,43785,2926,12770,16417,11672,486375,62164,131021,150601,142589,NC-13
521143,46089,2558,11173,18495,13863,475054,61034,115388,132180,166452,NC-09
491401,45034,2926,13093,17923,11092,446367,33452,117350,159220,136345,ND-00
507489,42952,3465,15774,13720,9993,464537,47407,141330,122893,152907,OH-02
496250,49848,4378,23626,15567,6277,446402,52741,191922,126300,75439,OH-06
487277,46107,3467,19592,16530,6518,441170,42640,179980,134505,84045,OH-04
510214,42918,2259,14786,15336,10537,467296,29817,139513,133170,164796,OH-16
470415,34284,3088,11361,12610,7225,436131,56590,125362,132519,121660,OH-11
482869,46946,3628,17168,15976,10174,435923,42773,158448,124781,109921,OH-08
530428,47975,2695,12417,18317,14546,482453,52179,130226,152679,147369,OK-01
532495,50933,2856,12048,20010,16019,481562,66713,129057,137848,147944,OK-05
605528,41451,1945,9123,17558,12825,564077,52117,103808,167387,240765,OR-03
559996,68695,3698,17517,30644,16836,491301,46163,125377,184747,135014,OR-04
367091,25347,2231,7560,7281,8275,341744,46621,95570,84164,115389,RI-01
472801,45975,4177,13863,16947,10988,426826,70229,133952,127587,95058,SC-03
514968,52317,3501,16664,20701,11451,462651,69234,158557,136656,98204,SC-07
434093,42778,3106,13667,17104,8901,391315,68501,134886,109041,78887,SC-06
521827,47093,3441,14630,17624,11398,474734,64638,164722,133677,111697,TN-04
483761,46055,2917,13519,16281,13338,437706,51783,141468,115897,128558,TN-08
534275,51227,4323,16764,17753,12387,483048,65405,176324,130844,110475,TN-06
436892,15579,1742,4872,6500,2465,421313,162979,125633,89511,43190,TX-29
483549,50016,3805,14246,21429,10536,433533,82108,135033,130690,85702,TX-27
500361,45109,2870,13167,18503,10569,455252,65474,130972,145722,113084,TX-14
489405,38995,3024,10675,16185,9111,450410,91233,137730,131408,90039,TX-05
510831,47582,3755,14376,16165,13286,463249,84230,146806,125749,106464,GA-09
516027,29952,708,3532,8565,17147,486075,30707,59877,91381,304110,GA-06
479224,62224,2632,15604,26312,17676,417000,56443,128818,125434,106305,GA-01
463812,49722,2740,14781,19202,12999,414090,66194,143746,115146,89004,GA-08
522119,49844,2338,12307,20643,14556,472275,46915,122197,163846,139317,ID-02
476422,29313,2158,8433,12389,6333,447109,48432,118058,148185,132434,IL-01
503455,19648,1464,4876,7220,6088,483807,65344,105339,102293,210831,IL-07
538145,18810,1384,4542,5939,6945,519335,40549,87131,101216,290439,IL-05
454811,42289,2556,14311,15218,10204,412522,33005,125081,125018,129418,IL-13
499019,26983,945,5561,9203,11274,472036,23762,77545,117720,253009,IL-06
467721,26437,998,6381,8878,10180,441284,48693,89951,100880,201760,IL-10
516762,20359,1078,3940,6019,9322,496403,42668,80418,101721,271596,IL-09
475679,54402,3070,15078,22939,13315,421277,44929,132883,146107,97358,IL-12
500800,45432,3412,15520,16294,10206,455368,47307,153203,130001,124857,IN-09
489089,45994,3279,18305,17038,7372,443095,50047,160472,134547,98029,IN-08
524777,39645,1711,11431,12967,13536,485132,30579,106623,117708,230222,IN-05
489561,38664,3496,13110,14468,7590,450897,77212,140413,122910,110362,IN-07
518064,49226,4376,15122,17888,11840,468838,65231,156285,134148,113174,TN-03
520292,46865,3153,16738,16588,10386,473427,37594,149507,149418,136908,IA-02
441497,42290,2359,13139,17436,9356,399207,49043,113004,135648,101512,KS-01
467027,48995,2525,16160,17373,12937,418032,33073,127807,134460,122692,KS-02
510658,41651,3058,12904,14754,10935,469007,57843,130920,129446,150798,KY-06
484183,33217,5081,13667,10209,4260,450966,106281,170275,113028,61382,KY-05
491416,49121,2913,16477,19282,10449,442295,69514,165885,121394,85502,LA-04
551168,41421,2689,12153,14333,12246,509747,65561,150003,136145,158038,LA-01
494874,40328,3472,15168,13553,8135,454546,86668,175454,111780,80644,LA-05
666620,64934,3676,20219,21873,19166,601686,63140,189002,155433,194111,DE-00
537812,42222,2489,9332,15155,15246,495590,57184,132159,124159,182088,FL-14
617103,71300,3045,18991,23660,25604,545803,56533,155063,158562,175645,FL-16
544097,55601,3158,16666,20541,15236,488496,63136,153522,147378,124460,FL-15
571077,67903,3567,20532,25436,18368,503174,49056,156024,157258,140836,FL-12
509696,67962,4533,19865,27629,15935,441734,60161,149081,127755,104737,FL-02
574367,44064,2063,10243,14056,17702,530303,65649,128363,147713,188578,FL-21
523027,32480,1828,9322,10319,11011,490547,56120,128006,117970,188451,MA-03
491790,43846,2496,14817,18019,8514,447944,36943,143477,152486,115038,MI-07
478363,39015,2685,12245,14918,9167,439348,42361,126433,143563,126991,MI-06
506364,44183,2841,14458,18249,8635,462181,41181,145084,164112,111804,MI-10
442735,29519,2730,10943,11908,3938,413216,74028,137817,134984,66387,MI-13
515855,31460,1421,7352,12423,10264,484395,24206,88272,134563,237354,MI-11
486666,35660,1385,8857,14298,11120,451006,24975,97073,139858,189100,MI-08
468218,36032,1379,9595,13867,11191,432186,22359,94848,140783,174196,MN-02
