Under6Years_WithHealthInsuranceCoverage,Under6Years_NoHealthInsuranceCoverage,6To18Years_WithHealthInsuranceCoverage,6To18Years_NoHealthInsuranceCoverage,19To25Years_WithHealthInsuranceCoverage,19To25Years_NoHealthInsuranceCoverage,26To34Years_WithHealthInsuranceCoverage,26To34Years_NoHealthInsuranceCoverage,35To44Years_WithHealthInsuranceCoverage,35To44Years_NoHealthInsuranceCoverage,45To54Years_WithHealthInsuranceCoverage,45To54Years_NoHealthInsuranceCoverage,55To64Years_WithHealthInsuranceCoverage,55To64Years_NoHealthInsuranceCoverage,65To74Years_WithHealthInsuranceCoverage,65To74Years_NoHealthInsuranceCoverage,75YearsAndOver_WithHealthInsuranceCoverage,75YearsAndOver_NoHealthInsuranceCoverage,stateId
5499,0,10416,302,8265,442,15637,1099,13360,1092,11876,601,12585,563,9333,358,8598,123,CA-46
7297,0,17111,113,12365,1313,14011,544,16780,924,15845,423,13664,1199,7142,247,5476,0,CA-33
18788,716,49305,1173,14542,577,36390,1182,57893,706,41831,586,31099,567,20571,472,13238,283,CA-15
7836,66,20364,779,11790,1059,19035,1846,22488,2167,23550,2243,20794,1924,17710,309,13668,0,CA-47
818,0,2778,16,502,57,855,118,1850,122,2178,58,1146,251,750,76,149,180,TN-08
,,,,,,,,,,,,,,,,,,TN-06
748,0,893,42,464,257,2654,518,1756,731,1115,727,1613,1094,1082,0,492,0,TX-29
866,279,913,358,544,95,1721,244,2136,539,987,741,913,51,924,0,309,0,TX-27
1177,53,3361,302,2559,160,2566,574,3050,316,3546,942,2488,706,1852,256,657,0,TX-14
1240,1256,3528,614,1383,110,2262,1863,2278,1096,1729,404,1373,290,1327,0,434,0,TX-05
2225,0,7397,92,3383,31,8013,838,8456,262,9228,168,3131,318,1385,153,1683,0,TX-10
111,0,1473,0,1572,514,2693,517,1113,1028,1239,583,589,2371,858,68,650,0,TX-35
10648,775,29567,4419,10532,1388,16904,2523,26423,3822,25209,3493,18398,1627,12164,1868,5514,380,TX-22
1004,0,870,0,1203,460,1708,0,1131,644,888,498,1725,107,396,0,456,0,TX-19
520,80,1685,463,2460,563,1405,239,1755,249,1608,112,1676,121,1350,40,484,64,UT-03
1404,156,1783,414,4562,379,6005,47,2567,284,3199,258,1505,116,570,0,868,0,UT-02
1042,0,1502,202,1367,0,2873,167,2639,335,3643,68,1732,0,1765,91,1100,160,VA-03
324,0,762,30,2395,445,1796,158,1368,73,1440,58,1714,0,1392,0,510,359,VA-04
1826,0,5896,276,3004,102,4600,1277,6007,320,5883,430,4726,220,5386,46,2470,20,VA-02
259,0,899,202,1769,348,2102,42,1609,202,1282,250,647,375,692,60,409,120,VA-06
9048,30,17368,199,5131,174,18588,149,25091,192,12192,340,6170,612,4504,178,2504,125,WA-01
793,0,3238,196,3125,90,2149,96,2181,61,1908,168,1279,198,1285,0,563,0,WA-05
3069,0,8522,267,7009,394,10576,973,8795,1110,9186,713,9960,238,6654,41,3489,0,WA-02
1043,360,2220,24,2605,343,2313,591,4189,377,2929,97,3894,186,3207,111,2233,0,WA-06
,,,,,,,,,,,,,,,,,,WV-03
1098,69,2057,483,1223,310,2524,80,2004,525,1741,246,1271,294,994,496,258,30,WI-01
1587,141,3680,269,1580,0,3576,426,3959,179,3144,160,1439,75,1220,0,1041,0,WI-05
1705,0,5076,303,7706,297,6329,260,5550,254,3086,461,1994,17,1276,0,682,0,WI-02
,,,,,,,,,,,,,,,,,,WY-00
274,0,1091,100,602,64,541,0,1014,90,913,367,277,0,505,0,421,0,PA-14
2331,0,7257,0,2491,0,3810,576,7071,206,5158,154,2698,0,1528,0,1019,0,PA-06
930,0,2024,46,2909,375,1382,68,1583,133,956,0,563,130,421,0,7,0,PA-12
1855,0,6664,112,1512,22,4192,56,7105,187,5074,287,3710,394,2005,268,1173,0,MO-02
1449,0,2544,141,4574,262,5647,360,3418,301,2492,99,989,282,1446,441,664,0,MO-01
467,104,2061,17,1866,104,2000,568,2010,267,1278,0,1208,0,827,163,329,44,MO-05
425,471,2835,442,2552,547,2449,190,2589,278,2028,51,1232,126,699,0,660,0,NE-01
2404,347,4148,0,2036,491,4895,524,4550,233,2855,0,1620,34,1283,0,146,0,NE-02
